#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-39.134983,2001,884.458156
-36.118896,2001,886.878985
-37.602631,2001,889.327204
-38.606826,2001,891.765273
-40.112716,2001,894.222339
-36.141136,2001,896.660769
-37.612187,2001,899.06014
-38.124971,2001,901.515487
-35.117497,2001,903.951007
-39.600466,2001,906.377645
-39.599228,2001,908.824516
-34.086223,2001,910.643571
-35.602681,2001,913.084809
-36.605868,2001,915.553388
-38.619459,2001,917.964461
-38.596246,2001,920.377681
-36.119138,2001,922.811015
-39.098091,2001,925.264009
-41.587377,2001,927.722759
-37.099594,2001,930.130963
-36.578956,2001,932.542008
-34.638131,2001,934.988394
-39.589561,2001,937.44967
-40.574351,2001,939.9032
-37.566338,2001,942.332692
-39.08061,2001,944.776943
-38.077852,2001,947.222249
-38.564496,2001,950.371305
-38.564496,2001,952.001838
-38.564496,2001,953.630597
-38.564496,2001,955.262074
-38.564496,2001,956.896034
-39.10322,2001,959.38524
-36.592779,2001,961.833138
-41.085444,2001,964.234917
-35.594406,2001,966.691963
-36.604259,2001,969.122602
-38.095967,2001,970.954609
-38.600673,2001,973.416852
-37.620989,2001,975.873173
-38.141095,2001,978.36691
-38.144573,2001,980.818016
-39.158417,2001,983.296163
-37.626775,2001,985.746533
-40.165809,2001,988.184198
-35.157971,2001,990.63059
-38.127236,2001,993.109689
-40.650267,2001,995.57554
-43.662619,2001,998.032559
-36.143296,2001,1000.45454
-40.64316,2001,1002.930403
-36.62848,2001,1005.37397
-36.130711,2001,1007.843998
-36.625597,2001,1010.319291
-31.627497,2001,1012.744392
-34.134092,2001,1015.188507
-37.120256,2001,1017.652248
-35.60704,2001,1020.144615
-37.136965,2001,1022.569666
-37.622948,2001,1024.991181
-38.608691,2001,1027.384598
-36.11885,2001,1029.839932
-40.099817,2001,1032.265684
-36.622809,2001,1034.75326
-35.592981,2001,1037.386911
-35.592981,2001,1039.049304
-35.592981,2001,1040.72484
-35.592981,2001,1042.395808
-35.592981,2001,1044.068911
-37.643034,2001,1046.508811
-32.603227,2001,1048.906979
-33.632607,2001,1051.352924
-39.58953,2001,1053.760439
-35.112963,2001,1056.171216
-38.619717,2001,1058.569923
-41.608313,2001,1061.045931
-38.12748,2001,1063.531402
-35.630698,2001,1065.948715
-35.123967,2001,1068.388285
-35.148473,2001,1070.804638
-41.106745,2001,1073.249492
-38.631089,2001,1075.656454
-39.146902,2001,1078.093063
-38.160961,2001,1080.543829
-33.137419,2001,1083.010572
-34.646083,2001,1085.45875
-35.12237,2001,1087.931121
-37.649303,2001,1090.368626
-37.131479,2001,1092.832398
-37.683329,2001,1095.302068
-41.180797,2001,1097.741915
-35.659473,2001,1100.180206
-41.18297,2001,1102.609976
-38.113057,2001,1105.042607
-39.140584,2001,1107.466584
-38.63865,2001,1109.895372
-37.171435,2001,1112.321062
-37.651102,2001,1114.749242
